等级,法术名称,派系,施法时间,施法距离,法术成分,持续时间,专注,豁免,仪式,施法材料,法术说明,法术升阶,诗人,牧师,德鲁伊,圣武士,游侠,术士,邪术士,法师
8,Antimagic Field 反魔场,防护,1个动作,自身（10尺半径）,V S M,1小时,专注,,,一撮铁粉或铁屑,"１０尺半径隐形的球形反魔法效果环绕着你，将这个区域与弥漫在多元宇宙间的魔法能量隔离开来。在这个球形效果内，法术无法被释放，召唤生物消失无踪，甚至魔法物品也会失去效果。这个球状效果以你为中心移动，直到法术终止。
非神器或神祗产生的法术和魔法效果会被反魔场压制，无法波及它内部的区域。即使法术效果被压制，使用的法术位依然被消耗。魔法效果被压制时不会生效，但它的持续时间如常计算。
目标型效果：以生物或物体为目标的法术或魔法效果，例如魔法飞弹和魅惑人类，对反魔场中的目标无效。
范围魔法效果：反魔场之外的法术或魔法效果，例如火球术，无法波及反魔场内部。如果反魔场的区域与某一魔法效果重叠，则该效果在重叠部分被压制。例如，当反魔场与火墙术重叠时，重叠区域的火焰被压制。如果重叠区域够大，甚至可以将火墙从中间截断。
法术：反魔场中的生物或物体上生效的法术或魔法效果会被压制。
魔法物品：反魔场会压制魔法物品的特殊效果。例如，一把＋１长剑在反魔场中如同一把无魔法的长剑。当被反魔场中的生物挥舞，或是用来攻击反魔场中的生物时，魔法武器的特殊效果会被压制。如果一把魔法武器或是一发魔法弹药完全离开反魔场的范围（例如，你从反魔场中向外面的某个目标发射一支箭矢或是投掷一把标枪），它的魔法效果将在离开范围时恢复。
魔法旅行：以反魔场内区域为起点或终点的传送或位面旅行效果无法生效。处在反魔场区域内的通往某地，某世界或是某位面的传送门，以及次元空间的入口（例如魔绳术所创造的）暂时被关闭。
生物和物体：在反魔场中，由魔法创造或召唤的生物或物体暂时消失。如此消失的生物在反魔场不再覆盖其所占据的空间时立刻出现。
解除魔法：类似解除魔法的法术和魔法效果对反魔场无效。另外，不同反魔场之间不会相互抵消。",,,牧师,,,,,,法师
8,Antipathy/Sympathy 嫌恶／关怀术,附魔,1小时,60尺,V S M,10天,,感知,,一小块用醋浸湿的明矾（嫌恶术）或一滴蜂蜜（关怀术）,"此法术吸引或驱赶你选择的生物。选择射程内一个超大型或更小的物体或生物，或是一块不超过２００尺立方的区域。再选择一类智慧生物，例如红龙，地精，或是吸血鬼。你为目标注入能吸引或是驱赶所选类型生物的灵光。你可以选择嫌恶或是关怀作为法术的效果。
嫌恶：法术的影响让你选定的生物不可遏止的想要远离目标。当符合条件的生物看到目标或是距离它不到６０尺时，该生物必须进行一次感知豁免否则陷入恐慌。只要还能看到目标或是在目标６０尺内，该生物就会持续恐慌。恐慌中，该生物必须使用其移动以移动到无法看到目标的最近的安全地点。离开目标至少６０尺且无法看到目标后，该生物不再恐慌。但再次看到目标或是进入目标６０尺内时他也将再次恐慌。
关怀：法术的影响让你选定的生物不可遏止的想要接近目标。当符合条件的生物看到目标或是距离它不到６０尺时，该生物必须进行一次感知豁免否则便会每轮使用其移动靠近目标。靠近后，该生物无法自愿远离目标。如果目标对该生物造成伤害或是从其他方面危害了他，该生物可以进行一次感知豁免以终止效果，见下。
终止效果：如果受影响的生物在距离目标６０尺外或是无法看到目标的地方结束其回合，他可以进行一次感知豁免，成功则不再受法术影响并且意识到厌恶感或诱惑力是来自魔法的影响。另外，法术持续时间内，受影响的生物每２４小时可以进行一次感知豁免。
对此法术效果豁免成功的生物在１分钟内免疫该效果，但之后仍会被该效果影响。",,,,德鲁伊,,,,,法师
4,Arcane Eye 秘法眼,预言,1个动作,30尺,V S M,1小时,专注,,,一点蝙蝠毛皮,"你在射程内创造出一个漂浮在空中的隐形魔法眼。
秘法眼拥有３０尺普通视觉和黑暗视觉且可以观察任何方向。你通过精神接收秘法眼传来的视觉信息。
以一个动作，你可以让秘法眼向任何方向移动３０尺。秘法眼远离你的距离没有限制，但它无法进入另一个位面。固体障碍物会阻挡秘法眼的移动，但它可以穿过任何直径大于１英尺的缝隙。",,,,,,,,,法师
6,Arcane Gate 秘法门,咒法,1个动作,500尺,V S ,10分钟,专注,,,,"你创造两个相连的传送门。选择地面上你能看见的两点，一点在１０尺内，另一点则在５００尺内。１０尺直径的圆形传送门在两点打开。如果你选择的点被生物占据，则法术失败且被消耗。
传送门的外观为闪烁的二维环形，垂直于地面漂浮在离地面几英尺处，内部布满迷雾。环形只有一面可见（由你选择），那一面即是传送门生效的一面。
任何进入其中一个传送门的生物将从另一个传送门走出，如同两个传送门邻接一样。从传送门不生效的那一面走过不会有任何效果。传送门中满布的迷雾阻挡了视线。在你的回合，你可以使用附赠动作改变传送门的朝向。",,,,,,,术士,邪术士,法师
2,Arcane Lock 秘法锁,防护,1个动作,接触,V S M,直到被解除,,,,至少价值２５ｇｐ的金粉。法术将消耗这些材料,"你触碰一扇门，一扇窗，一个箱子，或是其他出入口。直到法术终止，它变成锁闭的状态。在施法时，你可以设定允许你和其他若干生物正常打开这个物体。你也可以设置一条密码。在被锁闭的物体５尺内念出密码将压制秘法锁１分钟。该物体无法被打开，直到法术被压制，被解除，或是物体被破坏。在施展了秘法锁的物体上释放敲击术将压制秘法锁１０分钟。
被施展了秘法锁的物体更难被撬开或破坏。破坏物体或打开物体上的锁的ＤＣ增加１０。",,,,,,,,,法师
1,Armor of Agathys 艾嘉西斯之铠,防护,1个动作,自身,V S M,1小时,,,,一杯水,"防护性的魔法力量环绕着你，表现为覆盖在你和你的装备表面的魅影般的冰层。
法术持续时间内，你获得５点临时生命值。如果有生物在你拥有这些临时生命值时以近战攻击命中了你，他受到５点寒冷伤害。",当你使用２环或更高的法术位施展这个法术时，你使用的法术位每比１环高１环，临时生命和寒冷伤害就各增加５点。,,,,,,,邪术士,
1,Arms of Hadar 哈达之臂,咒法,1个动作,自身（10尺半径）,V S,立即,,,,,你呼唤乌黯热望哈达之力。黑暗能量构成的触须从你身上蔓延而出，痛击１０尺内的所有生物。范围内的生物必须进行一次力量豁免，失败则受到２ｄ６黯蚀伤害，且在其下一回合前无法使用反应。豁免成功的生物只受到一半伤害，且不会受到其他效果影响。,当你使用２环或更高的法术位施展这个法术时，你使用的法术位每比１环高１环，法术的伤害就增加１ｄ６。,,,,,,,邪术士,
9,Astral of Projection 星界投影,死灵,1小时,10尺,V S M,特殊,,,,"你必须为此法术影响的每个生物支付一枚至少价值１,０００ｇｐ的红锆石和一根做工精细，至少价值１００ｇｐ的银棒。法术将消耗这些材料。","你和射程内至多８名自愿生物将躯体投影到星界（如果你已经在星界，则法术失败且被消耗）。你原本的躯体昏迷并进入静止状态。它不需要空气和食物且不会衰老。
你的星界躯体几乎完美的保持了你原本的形态，使用你本体的游戏数据和物品。星界躯体和你本体的主要区别是从你肩胛骨间向后伸出的一条银线。这条可见长度仅有一尺的银线是你星界躯体和本体间的联系。只要银线保持完好，你总能找到回原本世界的路。只有明确注明可以切断这种银线的效果可以将之斩断。切断银线会将你的灵魂和躯体分离，将你杀死。
你的星界躯体可以在星界任意旅行，并能穿过星界的传送门到达其他位面。如果你到达一个新位面，或是回到你施法时所在的位面，你的本体和物品将沿着银线被传送，使你以本体的形态到达新位面。你的星界躯体是单独的实体。星界躯体承受的伤害或效果不会反映在你的本体上，也不会在你回到本体时保持。
你可以以１个动作解消法术，终止其对你和你的同伴的效果。当法术终止时，受术的生物回到其原本的躯体并苏醒。
星界投影可能对你或你的某位同伴提前终止。对某生物的本体或星界躯体成功施展解除魔法将终止星界投影对该生物的效果。如果某生物的本体或星界躯体的生命值降低到０，星界投影对该生物的效果亦终止。如果法术终止时银线依然保持连接，受术生物会被拉回原本的躯体，并脱离静止状态。
如果你在法术终止前被送回本体，你的同伴将被留在星界，只能自行返回（通常通过生命值降低到０的方式）。",,,牧师,,,,,邪术士,法师
2,Augury 卜筮术,预言,1分钟,自身,V S M,立即,,,仪式,一套绘有标记的木棒，骨头，或类似的象征物，价值至少２５金币,"借由镶嵌宝石的小木棒，龙骨，卡牌或是其他占卜器具，你从异界存在处获得对某件你计划在接下来的３０分钟内做的事的预示。ＤＭ从下列预示中选取一个：
吉：预示着好的结果。
凶：预示着坏的结果。
吉且凶：预示着结果既有好的方面，也有坏的方面。
无：预示着结果并无明显的好坏分别。
此法术不会将任何可能影响结果的偶然事件考虑在内。例如，额外释放某个法术，或是得到／失去某个同伴。
若你在两次长休息之间使用两次或更多卜筮术，法术有概率会给出随机的结果。此概率从第二次施展起每次累计２５％。DM暗骰决定随机的结果。",,,牧师,,,,,,
4,Aura of Life 生命灵光,防护,1个动作,自身（30尺半径）,V,10分钟,专注,,,,"护佑的能量灵光自你身上发出。直到法术终止，３０尺半径的灵光以你为中心移动。灵光范围内的非敌对生物（包括你自己）获得对黯蚀伤害的抗性，且生命值上限无法被降低。另外，生命值为０的非敌对生物在灵光范围内开始回合时会恢复１点生命值。
",,,,,圣武士,,,,
4,Aura of Purity 净化灵光,防护,1个动作,自身（30尺半径）,V,10分钟,专注,,,,净化的能量灵光自你身上发出。直到法术终止，３０尺半径的灵光以你为中心移动。灵光范围内的非敌对生物（包括你自己）不会受到疾病影响，获得对毒素伤害的抗性，并且在对抗会造成下列状态的效果时豁免骰具有优势：目盲，魅惑，耳聋，恐慌，麻痹，中毒和震慑。,,,,,圣武士,,,,
3,Aura of Vitality 活力灵光,塑能,1个动作,自身（30尺半径）,V,10分钟,专注,,,,治愈的能量灵光自你身上发出。直到法术终止，３０尺半径的灵光以你为中心移动。你可以使用一个附赠动作给灵光范围内的一名生物（包括你自己）恢复２ｄ６点生命值。,,,,,圣武士,,,,
5,Awaken 启蒙术,变化,8小时,接触,V S M,立即,,,,"一块价值至少１,０００ｇｐ的玛瑙。法术将消耗这些材料。","在利用施法的８小时中引导一块昂贵宝石中的魔法回路后，你接触超大型或更小的一只野兽或一棵植物。目标必须没有智力值或智力小于等于３。他的智力变为１０，且学会说一种你会的语言。如果目标是植物，他获得使用枝，根，藤，蔓或类似部位移动的能力，并获得类似于人类的感官。ＤＭ为启蒙植物决定数据，例子可参考启蒙灌木和启蒙树。
被启蒙的植物或野兽被你魅惑，持续３０天或是直到你或你的盟友做出任何伤害他的举动。魅惑时间结束后，启蒙生物将根据你对待他的方式决定是否对你保持友善。",,诗人,,德鲁伊,,,,,
1,Bane 灾祸术,附魔,1个动作,30尺,V S M,1分钟,专注,魅力,,一滴血,法术射程内至多三个对你可见的生物必须进行魅力豁免。直到法术终止，每当豁免失败的目标生物投攻击骰或豁免骰时，他必须从投骰结果中减去一个ｄ４。,当你使用２环或更高的法术位施展这个法术时，你使用的法术位每比１环高１环，就能多选择一个目标。,诗人,牧师,,,,,,
5,Banishing Smite 放逐斩,防护,1个附加动作,自身,V,1分钟,专注,,,,法术终止前，你下一次以武器攻击命中某生物时，你的武器爆出巨力，该次攻击对目标额外造成５ｄ１０点力场伤害。另外，如果此次攻击将目标的生命值降低到５０以下，该生物被放逐。如果目标不是你所处位面的原住民，则他被放逐回他的家园位面。如果目标是你所处位面的原住民，则他被放逐到一个无害的半位面。在半位面期间，该生物处于乏力状态。法术终止时，目标在他被放逐前的位置出现。如果该位置被占据，则他在最近的未被占据空间出现。,,,,,圣武士,,,,
4,Banishment 放逐术,防护,1个动作,60尺,V S M,1分钟,专注,魅力,,,"你试图将一名对你可见的生物送到异位面。目标必须通过一次魅力豁免否则被放逐。
如果目标是你所处位面的原住民，则他被放逐到一个无害的半位面。在半位面期间，该生物处于乏力状态。法术终止时，目标在他被放逐前的位置出现。如果该位置被占据，则他在最近的未被占据空间出现。
如果目标不是你所处位面的原住民，则他会伴随着轻微的＂砰＂的声音被放逐回他的家园位面。如果法术在１分钟过去之前终止，目标在他被放逐前的位置重新出现。如果该位置被占据，则他在最近的未被占据空间出现。如果法术在持续１分钟后终止，目标不会回到原地。",当你使用５环或更高的法术位施展这个法术时，你使用的法术位每比４环高１环，就能多选择一个目标。,,牧师,,圣武士,,术士,邪术士,法师
2,Barkskin 树肤术,变化,1个动作,接触,V S M,1小时,专注,,,一把橡树皮,你接触一个自愿生物。直到法术终止，目标的皮肤呈现粗糙的树皮状外观。目标的ＡＣ不会降低到１６以下，无论他穿着何种盔甲。,,,,德鲁伊,,游侠,,,
3,Beacon of Hope 希望信标,防护,1个动作,30尺,V S,1分钟,专注,,,,这个法术带来活力和希望。选择３０尺内任意数量名生物。法术持续时间内，所有目标在感知豁免和死亡豁免上具有优势，并且在获得治疗时以骰子取最大值决定恢复的生命值。,,,牧师,,,,,,
2,Beast Sense 野兽知觉,预言,1个动作,接触,S,1小时,专注,,仪式,,"你接触一只自愿的野兽。法术持续时间内，你可以使用动作来通过受术野兽的视觉看，通过它的听觉听，直到你再使用动作恢复正常知觉。
当通过野兽的知觉感知四周时，你获得该生物具有的特殊知觉，但你对自身周围的环境不见不闻。
",,,,德鲁伊,,游侠,,,
3,Bestow Curse 降咒,死灵,1个动作,接触,V S,1分钟,专注,感知,,,"你接触一名生物，该生物必须通过一次感知豁免否则在法术持续时间内被诅咒。当你施展此法术时，选择一种诅咒：
　　选择一个属性。受诅咒影响时，目标在该属性的豁免和属性检定上承受劣势。
　　受诅咒影响时，目标在针对你的攻击骰上承受劣势。
　　受诅咒影响时，目标必须在他的每回合开始时进行一次感知豁免，失败则浪费掉该回合的动作。
　　受诅咒影响时，你的攻击和法术对目标额外造成１ｄ８点黯蚀伤害。
移除诅咒可以终止此法术的效果。ＤＭ可以让你选择其他诅咒，但它们不该比上表内的更强大。诅咒的效果最终由ＤＭ裁定。",当你使用４环或更高的法术位施展这个法术时，法术的持续时间变为专注，至多１０分钟。使用５环或更高的法术位时，变为８小时。使用７环或更高的法术位时，变为２４小时。使用９环法术位时，法术持续到被解消。使用５环或更高的法术位施展此法术无需专注。,诗人,牧师,,,,,,法师
5,Bigby's Hand 毕格比之手,塑能,1个动作,120尺,V S M,1分钟,专注,力量,,一块蛋壳和一只蛇皮手套,"你在视野内对你可见的某处未被占据的空间创造出一只闪烁着微光的巨手。巨手存在到法术终止，并听从你的指示模仿你手掌移动的方式移动。
巨手视为物体，其ＡＣ为２０，生命值等于你的生命值上限。如果它的生命值降低到０则法术终止。它的力量为２６（＋８），敏捷为１０（＋０）。巨手并不占据它所在的空间。
当你施展此法术时，以及在你接下来的回合中以一个附赠动作，你可以令巨手移动至多６０尺并造成下列效果中的某个。
金刚拳：巨手攻击五尺内的生物或物体。用你的数据进行一次近战法术攻击，命中则造成４ｄ８力场伤害。
飞击掌：巨手尝试按你选定的方向推５尺内的一名生物。用巨手的力量检定对抗目标的力量（运动）检定。如果目标为中型或更小则你在检定上具有优势。对抗成功则目标被推开５＋５×你的施法属性调整值尺。巨手随着目标一起移动，保持５尺距离。
擒拿掌：巨手尝试擒抱５尺内的一名超大型或更小的生物。在计算擒抱时使用巨手的力量值。如果目标为中型或更小则你在检定上具有优势。在巨手擒抱住目标期间，你可以使用一个附赠动作命令目标挤压他，对目标造成２ｄ６＋你的施法属性调整点钝击伤害。
护身掌：巨手阻挡在你和一名你选择生物中间，直到你给他另一个命令。巨手不断移动保持在你和目标中间，使得你对目标具有半掩蔽。如果目标的力量值小于或低于巨手的力量值，那么他就无法通过巨手的阻挡。如果他的力量值高于巨手，则他可以穿过巨手所在的空间，但该空间对目标视为困难地形。",当你使用６环或更高的法术位施展这个法术时，你使用的法术位每比５环高１环，金刚拳的伤害提高２ｄ８，擒拿掌的伤害提高２ｄ６。,,,,,,,,法师
6,Blade Barrier 剑刃障壁,塑能,1个动作,90尺,V S,10分钟,专注,敏捷,,,"你立起一道由旋转的魔法利刃组成的墙。墙出现在射程内你选择的位置，持续到法术终止。你可以选择创造１００尺长，２０尺高，５尺厚的直墙；或是６０尺直径，２０尺高，５尺厚的环形墙。墙为它之后的生物提供３／４掩蔽。它占据的空间视为困难地形。
当生物每回合第一次进入墙占据的范围，或是在墙的范围内开始回合时，他必须进行一次敏捷豁免，失败则受到６ｄ１０点挥砍伤害。成功则伤害减半。",,,牧师,,,,,,
0,Blade Ward 剑刃防护,防护,1个动作,自身,V S ,1轮,,,,,你伸出手在空气中勾勒出一个防护的印记。直到你的下回合结束，你对武器造成的钝击，穿刺和挥砍伤害具有抗力。,,诗人,,,,,术士,邪术士,法师
1,Bless 祝福术,附魔,1个动作,30尺,V S M,1分钟,专注,,,一钵圣水,你用言语祝福了法术范围内的至多三个生物。直到法术终止，受术的目标投掷攻击骰或豁免骰时，可以额外投一个ｄ４并加在结果上。,当你使用２环或更高的法术位施展这个法术时，你使用的法术位每比１环高１环，就可以多选择一个目标。,,牧师,,圣武士,,,,
4,Blight 枯萎术,死灵,1个动作,30尺,V S,立即,,体质,,,"死灵术的能量袭向一个射程内对你可见的生物，榨取他的水分和生命力。目标必须进行一次体质豁免，失败受到８ｄ８点黯蚀伤害，成功则减半。此法术对构装体或不死生物无效。
如果目标为植物类生物或魔法植物，它在豁免检定上承受劣势，且法术伤害取最大值。
如果目标为非魔法非生物的植物，如一棵树或灌木，则它无需进行豁免————它将直接枯萎死去。",当你使用５环或更高的法术位施展这个法术时，你使用的法术位每比４环高１环，法术的伤害就增加１ｄ８。,,,德鲁伊,,,术士,邪术士,法师
3,Blinding Smite 致盲斩,塑能,1个附加动作,自身,V,1分钟,专注,体质,,,"法术终止前，你下一次以近战武器攻击命中某生物时，你的武器爆发出强光，对目标额外造成３ｄ８点光耀伤害。另外，目标必须进行一次体质豁免，失败则目盲直到法术终止。
因此法术而目盲的生物在他的每个回合结束时进行一次体质豁免，成功则不再目盲。",,,,,圣武士,,,,
2,Blindness/Deafness 目盲／耳聋术,死灵,1个动作,130尺,V,1分钟,专注,体质,,,你尝试令敌人目盲或耳聋。选择一个射程内对你可见的生物。他必须进行一次体质豁免，失败则在法术持续时间内目盲或耳聋（由你选择）。在目标的每个回合结束时，他可以通过一次体质豁免，成功则法术终止。,当你使用３环或更高的法术位施展这个法术时，你使用的法术位每比２环高１环，就可以多选择一个目标。,诗人,牧师,,,,术士,,法师
3,Blink 闪现术,变化,1个动作,自身,V S,1分钟,,,,,"在你的每个回合结束，投掷一次ｄ２０。如果结果大于等于１１，则你从所处位面消失并出现在灵界（如果你已经在灵界，则法术失败且被消耗）。在你的每个回合开始以及法术终止时，如果你身处灵界，则你在之前消失的位置１０尺内由你选择的未被占据且对你可见的空间出现。如果范围内没有未被占据的空间，你随机出现在最近的未被占据空间。你可以用一个动作解消此法术。
身处灵界时，你可以听见和看见原位面，但只限于６０尺之内，且所有事物都是灰暗的。不处于灵界的生物无法察觉你也无法和你交流，除非具有允许他如此做的特殊能力。",,,,,,,术士,,法师
2,Blur 朦胧术,幻术,1个动作,自身,V,1分钟,专注,,,,你的身影变得模糊，在别人眼里闪烁不定。直到法术终止，任何生物对你的攻击骰承受劣势。不依赖视觉（例如盲视）或可以看穿幻觉（例如真视）的攻击者对此效果免疫。,,,,,,,术士,,法师
2,Branding Smite 印记斩,塑能,1个附加动作,自身,V,1分钟,专注,,,,法术终止前，你下一次以武器攻击命中某生物时，你的武器闪烁如明星，对目标额外造成２ｄ６点光耀伤害。如果目标处于隐形状态，则他显形，且因周身散发出５尺半径的微光而无法隐形，直到法术终止。,当你使用３环或更高的法术位施展这个法术时，你使用的法术位每比２环高１环，法术的伤害就增加１ｄ６。,,,,圣武士,,,,
1,Burning Hand 燃烧之手,塑能,1个动作,自身（15尺锥形）,V S,立即,,敏捷,,,"你双手拇指相对，其他手指分开，一道火焰随即从手指间喷出。处于１５尺锥状范围内的生物必须进行敏捷豁免，失败则受到３ｄ６火焰伤害，成功则减半。
此法术的火焰会点燃范围内未被装备或持有的可燃物。",当你使用２环或更高的法术位施展这个法术时，你使用的法术位每比１环高１环，法术的伤害就增加１ｄ６。,,,,,,术士,,法师
